Sno,Weight
0,-0.05670977
1,-0.061507717
2,-0.048461005
3,-0.028870258
4,-0.05308079
5,0.053725462
6,-0.009212551
7,0.04165942
8,0.016725551
9,0.035493176
10,-0.06814101
11,-0.016198875
12,-0.08239624
13,0.057457533
14,-0.09160267
15,-0.04254965
16,0.020148745
17,-0.024639513
18,-0.0019058998
19,0.012900894
20,0.0399745
21,-0.043624632
22,0.011086124
23,0.057238437
24,0.06725933
25,0.02050324
26,0.018033955
27,-0.1257702
28,0.0014074922
29,0.015670279
30,0.026844874
31,0.011539056
32,-0.004530559
33,-0.062097006
34,-0.007100573
35,0.004219737
36,-0.007780225
37,0.015118788
38,0.023546493
39,-0.058404926
40,-0.052942358
41,0.030981408
42,0.048613396
43,-0.0115618585
44,-0.017991092
45,-0.075329386
46,-0.059943967
47,0.055651024
48,0.019698866
49,0.017771974
50,-0.06462661
51,-0.0069040675
52,-0.030862134
53,0.003463064
54,-0.0067319633
55,0.07417211
56,-0.052593365
57,-0.046554558
58,0.06408677
59,0.02969292
60,0.0056685144
61,-0.037734922
62,-0.010101292
63,-0.03412529
64,-0.092348665
65,-0.06501765
66,-0.08376175
67,-0.04367194
68,-0.057676353
69,-0.022525769
70,0.03271579
71,0.013320548
72,0.028082011
73,0.02859451
74,-0.0013000433
75,-0.001750643
76,0.06528582
77,-0.0076347557
78,-0.030172367
79,-0.02353829
80,-0.018532822
81,0.017862586
82,0.0036961683
83,-0.03234804
84,-0.043669287
85,-0.008686829
86,-0.0015701388
87,-0.08082489
88,-0.030523652
89,-0.017208846
90,-0.0884235
91,-0.04642218
92,0.0056551713
93,-0.025675373
94,0.055741448
95,-0.123713344
96,-0.018167788
97,0.03277353
98,-0.018468393
99,0.0060569514
100,0.029703042
101,-0.019652534
102,0.0012833676
103,0.03718744
104,-0.040556055
105,-0.0029924833
106,-0.10083044
107,0.037784453
108,0.027631987
109,0.02943018
110,0.0099532325
111,0.03220953
112,0.027978387
113,-0.09195803
114,0.025126584
115,-0.027937664
116,-0.0496401
117,0.007632862
118,-0.05874187
119,-0.040284522
120,0.011048937
121,-0.054024216
122,-0.028037068
123,0.0025132212
124,-0.0064699263
125,0.057023928
126,0.018200196
127,0.034481805
128,0.046936817
129,0.056884497
130,-0.048481654
131,-0.07356598
132,0.038080644
133,-0.006048513
134,0.04978063
135,0.05129328
136,0.023731666
137,-0.0793003
138,-0.028724136
139,-0.09916027
140,0.060871206
141,0.022182846
142,0.013151561
143,-0.072039984
144,0.040582977
145,0.02231494
146,0.041383613
147,0.0425028
148,0.0043880213
149,-0.061564956
150,0.0197548
151,0.021211684
152,0.017274683
153,0.03649228
154,0.022904724
155,0.09349555
156,0.04669834
157,-0.10669931
158,0.060675263
159,0.029586842
160,-0.018690733
161,0.017296381
162,0.05844341
163,0.04748335
164,0.026549408
165,0.027928064
